ISO,scenario,headroom_additive_shift_GW,first_negative_annual_year,first_negative_interpolated_year,margin_2035_GW,shortfall_2035_GW
PJM,low,-3,2034,2033.4874273656983,-2.9746400043173216,2.9746400043173216
PJM,low,-2,2034,2033.9767173973878,-1.9746400043173216,1.9746400043173216
PJM,low,-1,2035,2034.4942335689882,-0.9746400043173217,0.9746400043173217
PJM,low,0,>2035,,0.025359995682678344,0.0
PJM,low,1,>2035,,1.0253599956826784,0.0
PJM,low,2,>2035,,2.0253599956826784,0.0
PJM,low,3,>2035,,3.0253599956826784,0.0
PJM,mid,-3,2032,2031.2597993149889,-9.043145972049972,9.043145972049972
PJM,mid,-2,2032,2031.6357069941039,-8.043145972049972,8.043145972049972
PJM,mid,-1,2033,2032.012417164368,-7.043145972049971,7.043145972049971
PJM,mid,0,2033,2032.4142973852456,-6.043145972049971,6.043145972049971
PJM,mid,1,2033,2032.8161776061231,-5.043145972049971,5.043145972049971
PJM,mid,2,2034,2033.2310589423494,-4.043145972049971,4.043145972049971
PJM,mid,3,2034,2033.6569001976914,-3.0431459720499716,3.0431459720499716
PJM,high,-3,2030,2029.6342065501167,-15.997871944451768,15.997871944451768
PJM,high,-2,2030,2029.9219389604302,-14.997871944451768,14.997871944451768
PJM,high,-1,2031,2030.2190278307223,-13.997871944451768,13.997871944451768
PJM,high,0,2031,2030.5196001283898,-12.997871944451768,12.997871944451768
PJM,high,1,2031,2030.820172426057,-11.997871944451768,11.997871944451768
PJM,high,2,2032,2031.1294373262979,-10.997871944451768,10.997871944451768
PJM,high,3,2032,2031.4516482964273,-9.997871944451768,9.997871944451768
MISO,low,-3,2027,2026.9268129620557,-7.521088694406546,7.521088694406546
MISO,low,-2,2028,2027.2669618396512,-6.521088694406546,6.521088694406546
MISO,low,-1,2028,2027.6030230813699,-5.521088694406546,5.521088694406546
MISO,low,0,2028,2027.9390843230885,-4.521088694406546,4.521088694406546
MISO,low,1,2029,2028.2953944053077,-3.521088694406546,3.521088694406546
MISO,low,2,2029,2028.6561874666606,-2.521088694406546,2.521088694406546
MISO,low,3,2030,2029.064338434799,-1.521088694406546,1.521088694406546
MISO,mid,-3,2027,2026.6101784067557,-8.97744813869023,8.97744813869023
MISO,mid,-2,2027,2026.9124612436012,-7.97744813869023,7.97744813869023
MISO,mid,-1,2028,2027.1911159766978,-6.97744813869023,6.97744813869023
MISO,mid,0,2028,2027.460138896829,-5.97744813869023,5.97744813869023
MISO,mid,1,2028,2027.7291618169604,-4.97744813869023,4.97744813869023
MISO,mid,2,2028,2027.9981847370916,-3.97744813869023,3.97744813869023
MISO,mid,3,2029,2028.3490600070963,-2.97744813869023,2.97744813869023
MISO,high,-3,2027,2026.3853203073209,-10.572660901854778,10.572660901854778
MISO,high,-2,2027,2026.6462561076146,-9.572660901854778,9.572660901854778
MISO,high,-1,2027,2026.9071919079083,-8.572660901854778,8.572660901854778
MISO,high,0,2028,2027.1420677976487,-7.57266090185478,7.57266090185478
MISO,high,1,2028,2027.3625583692017,-6.57266090185478,6.57266090185478
MISO,high,2,2028,2027.583048940755,-5.57266090185478,5.57266090185478
MISO,high,3,2028,2027.803539512308,-4.57266090185478,4.57266090185478
SPP,low,-3,2027,2026.0447898655962,-3.552868559272587,3.552868559272587
SPP,low,-2,2027,2026.8533524916995,-2.552868559272587,2.552868559272587
SPP,low,-1,2028,2027.7445771699956,-1.552868559272587,1.552868559272587
SPP,low,0,2030,2029.2351194437217,-0.5528685592725869,0.5528685592725869
SPP,low,1,>2035,,0.44713144072741307,0.0
SPP,low,2,>2035,,1.447131440727413,0.0
SPP,low,3,>2035,,2.447131440727413,0.0
SPP,mid,-3,2026,2025.5813323546163,-5.310275476751692,5.310275476751692
